企業・団体名,合計,文科系 男子,文科系 女子,理工系,
株式会社ダイヘン,3,,1,2,
大東建託株式会社,3,2,,1,
株式会社大京アステージ,3,1,2,,
デンカ株式会社,3,1,2,,
ディップ株式会社,3,1,2,,
名古屋市,3,3,,,
奈良県　警察（警察官・警察事務　等）,3,2,1,,
中兵庫信用金庫,3,2,1,,
日本化薬株式会社,3,2,,1,
日本新薬株式会社,3,,2,1,
株式会社ニッセイコム,3,,,3,
日本マクドナルドホールディングス株式会社,3,1,2,,
株式会社日本触媒,3,3,,,
日本精工株式会社,3,2,,1,
日新電機株式会社,3,3,,,
日本ハム株式会社,3,2,1,,
西日本建設業保証株式会社,3,3,,,
任天堂株式会社,3,,2,1,
株式会社日新,3,,3,,
日清食品ホールディングス株式会社,3,2,1,,
株式会社ＮＳＤ,3,1,1,1,
日本システム技術株式会社,3,2,1,,
日本車輌製造株式会社,3,1,,2,
日本特殊陶業株式会社,3,2,,1,
日東精工株式会社,3,3,,,
株式会社西松屋チェーン,3,3,,,
日本経営グループ,3,3,,,
株式会社日本総研情報サービス,3,2,1,,
ニッセイ情報テクノロジー株式会社,3,1,2,,
阪神高速道路株式会社,3,1,1,1,
株式会社阪急阪神百貨店,3,2,1,,
日立化成株式会社,3,1,2,,
久光製薬株式会社,3,1,2,,
株式会社百五銀行,3,,3,,
株式会社肥後銀行,3,1,2,,
日立造船株式会社,3,2,1,,
株式会社百十四銀行,3,1,2,,
富国生命保険相互会社,3,1,2,,
株式会社ファミリーマート,3,3,,,
株式会社福井銀行,3,2,,1,
古河ＡＳ株式会社,3,1,2,,
フューチャーアーキテクト株式会社,3,1,2,,
株式会社ファンケル,3,1,,2,
フリュー株式会社,3,,3,,
株式会社平和堂,3,2,1,,
北陸電力株式会社,3,2,1,,
株式会社北陸銀行,3,2,1,,
株式会社ホームロジスティクス,3,2,1,,
株式会社バンダイ,3,2,1,,
バリューマネジメント株式会社,3,,3,,
株式会社ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,3,2,1,,
株式会社ビックカメラ,3,,3,,
株式会社パソナ　パソナキャリアカンパニー,3,2,,1,
プロクター・アンド・ギャンブル・ジャパン株式会社,3,2,1,,
